"SESSO","PAR","ANASCI","STACIV","IREG","ANNO","ID","STUDIO","NASCREG"
1,1,13,1,5,2016,"37011_1",5,7
2,2,19,1,5,2016,"37011_2",4,5
1,1,29,1,7,2016,"37299_1",3,7
2,2,33,1,7,2016,"37299_2",3,7
2,3,66,2,7,2016,"37299_5",4,7
1,1,34,1,4,2016,"37459_1",3,4
2,2,36,1,4,2016,"37459_2",4,13
2,3,63,2,4,2016,"37459_3",4,4
2,1,22,3,16,2016,"37521_2",5,16
2,1,36,1,16,2016,"37665_1",4,16
1,2,29,1,16,2016,"37665_2",4,16
1,1,13,1,11,2016,"37677_1",4,11
2,2,19,1,11,2016,"37677_2",3,11
2,1,22,2,4,2016,"37810_3",2,4
2,1,28,1,17,2016,"38014_2",4,16
1,2,24,1,17,2016,"38014_1",4,16
1,1,37,1,1,2016,"38095_1",3,1
2,2,33,1,1,2016,"38095_2",3,1
1,3,56,2,1,2016,"38095_3",3,1
1,1,12,4,17,2016,"38106_1",4,17
1,1,41,2,17,2016,"38135_2",4,17
2,1,10,2,20,2016,"38272_1",3,4
1,1,29,1,16,2016,"38316_1",5,16
2,2,30,1,16,2016,"38316_2",5,16
1,3,61,2,16,2016,"38316_5",4,16
2,3,66,2,16,2016,"38316_6",4,16
1,1,11,1,19,2016,"38349_1",4,19
2,2,15,1,19,2016,"38349_2",3,19
1,1,39,1,20,2016,"38554_3",3,20
2,2,45,1,20,2016,"38554_4",3,20
1,3,67,2,20,2016,"38554_5",3,20
1,3,73,2,20,2016,"38554_6",2,20
1,1,19,1,5,2016,"38877_1",3,5
2,2,23,1,5,2016,"38877_2",4,5
1,1,16,1,5,2016,"38885_1",3,5
2,2,23,1,5,2016,"38885_2",3,5
2,1,18,4,13,2016,"38939_2",3,13
2,3,41,1,13,2016,"38939_5",5,13
2,4,77,2,13,2016,"38939_6",1,13
2,4,78,2,13,2016,"38939_7",1,13
1,1,16,1,13,2016,"38940_1",2,13
2,2,18,1,13,2016,"38940_2",4,13
2,1,17,4,15,2016,"38979_2",3,16
2,1,22,1,14,2016,"38992_2",5,14
1,2,21,1,14,2016,"38992_1",4,14
1,1,28,1,14,2016,"39056_1",4,14
2,2,31,1,14,2016,"39056_2",4,14
2,2,11,1,16,2016,"39086_2",5,1
2,1,30,4,16,2016,"39095_3",4,16
2,1,12,2,16,2016,"39218_1",4,16
1,1,37,1,16,2016,"39227_5",3,16
1,4,6,4,16,2016,"39227_1",2,16
2,3,37,2,5,2016,"39284_3",4,5
